Player;Role;Team;Opponent_Team;Opponent_Player;Date;Round;Day;Patch;Stage;No_Game;all_Games;Format;Game_of_day;Side;Time;Ban;Ban_Opponent;Pick;Pick_Opponent;Champion;Champion_Opponent;Outcome;Kills_Team;Turrets_Team;Dragon_Team;Baron_Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Team's Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Aiming;ADCARRY;DK;T1;Gumayusi;12.09.2024;1;1;v14.16;Regional_Finals_2024;5;5;5;5;Red;00:31:00;Braum;Tristana;LeBlanc;KSante;Miss_Fortune;Ashe;Win;15;8;3;1;17;8;0;3;Perfect_KDA;334;8;0;10.8;15651;505;0.262;47;16;14;6;6;1.52;0.52;0.19;0.45;0.15;22997;21671;650;676;742;0.34;0.35;0.733;0;3;0;0;0;-203;12;131;0;0;6197;6197;6254;0;16233;0;8;152;10336;0;6;25;150;0
Moham;SUPPORT;DK;T1;Keria;12.09.2024;1;1;v14.16;Regional_Finals_2024;5;5;5;5;Red;00:31:00;Alistar;Gangplank;Gnar;Poppy;Leona;Poppy;Win;15;8;3;1;12;0;3;8;2.7;49;0;0;1.6;7917;255;0.133;143;81;25;26;26;4.61;2.61;0.84;0.81;0.455;4489;911;2634;944;145;0.066;0.26;0.533;0;0;0;0;0;-630;9;22;0;0;1106;1106;1251;0;12224;0;27;68;16468;58;28;40;0;0
PerfecT;TOP;KT;FOX;Clear;13.09.2024;1;2;v14.16;Regional_Finals_2024;1;3;5;1;Blue;00:44:00;Vi;Rumble;Ziggs;Corki;Jax;KSante;Win;10;8;2;1;18;2;1;3;5;394;5;0;9;18148;412;0.235;60;23;14;7;7;1.36;0.52;0.16;0.32;0.127;8542;3373;4881;288;194;0.081;0.11;0.5;0;0;0;0;0;-312;3;-331;-1;0;9896;9896;4163;0;27643;0;7;264;24863;38;8;25;400;50
Pyosik;JUNGLE;KT;FOX;Raptor;13.09.2024;1;2;v14.16;Regional_Finals_2024;1;3;5;1;Blue;00:44:00;Lillia;Smolder;Sejuani;Maokai;Sejuani;Maokai;Win;10;8;2;1;16;1;2;4;2.5;203;171;0;4.6;12109;275;0.157;144;58;27;15;15;3.27;1.32;0.34;0.61;0.306;11158;5670;5288;200;254;0.106;0.11;0.5;0;0;0;0;0;165;0;193;1;0;183;183;17697;378;56389;0;29;500;48722;69;16;34;0;0
Bdd;MID;KT;FOX;Clozer;13.09.2024;1;2;v14.16;Regional_Finals_2024;1;3;5;1;Blue;00:44:00;Ashe;Ivern;Jax;KSante;Tristana;Corki;Win;10;8;2;1;18;4;0;4;Perfect_KDA;449;53;0;10.2;19181;436;0.249;73;24;15;8;8;1.66;0.55;0.18;0.34;0.155;29601;28173;780;648;673;0.282;0.18;0.8;0;1;0;0;0;476;2;106;1;0;9230;9230;13980;0;19262;0;6;169;20978;0;10;33;0;0
Deft;ADCARRY;KT;FOX;Hena;13.09.2024;1;2;v14.16;Regional_Finals_2024;1;3;5;1;Blue;00:44:00;Jhin;Yone;Tristana;Poppy;Ziggs;Seraphine;Win;10;8;2;1;18;3;0;5;Perfect_KDA;423;19;0;9.6;18353;417;0.238;52;17;10;2;2;1.18;0.39;0.05;0.23;0.11;51640;1063;50577;0;1174;0.492;0.18;0.8;0;0;0;0;0;250;12;1074;1;0;4573;4573;1748;0;8660;0;18;499;14389;0;4;22;50;0
BeryL;SUPPORT;KT;FOX;Duro;13.09.2024;1;2;v14.16;Regional_Finals_2024;1;3;5;1;Blue;00:44:00;Miss_Fortune;Azir;Alistar;Seraphine;Alistar;Poppy;Win;10;8;2;1;14;0;1;10;10;36;0;0;0.8;9392;213;0.122;142;81;11;24;24;3.23;1.84;0.55;0.25;0.301;4005;337;2864;804;91;0.038;0.23;1;0;0;0;0;0;-59;7;510;0;0;0;0;9799;4912;27611;1506;35;135;20627;16;27;43;0;0
Clear;TOP;FOX;KT;PerfecT;13.09.2024;1;2;v14.16;Regional_Finals_2024;1;3;5;1;Red;00:44:00;Rumble;Vi;Corki;Ziggs;KSante;Jax;Loss;4;2;4;0;18;2;1;1;3;360;8;0;8.2;15245;346;0.223;35;13;15;9;8;0.8;0.3;0.2;0.34;0.088;14331;8626;4830;875;326;0.164;0.07;0.75;0;0;0;0;0;312;-3;331;1;0;326;326;10542;0;68842;520;27;1308;38415;0;11;31;50;50
Raptor;JUNGLE;FOX;KT;Pyosik;13.09.2024;1;2;v14.16;Regional_Finals_2024;1;3;5;1;Red;00:44:00;Smolder;Lillia;Maokai;Sejuani;Maokai;Sejuani;Loss;4;2;4;0;14;0;3;3;1;211;172;0;4.8;10883;247;0.159;79;17;35;16;16;1.8;0.39;0.36;0.8;0.199;13400;302;13098;0;305;0.154;0.07;0.75;0;0;0;0;0;-165;0;-193;-1;0;0;0;22291;0;40427;647;59;623;48111;122;18;35;0;0
Clozer;MID;FOX;KT;Bdd;13.09.2024;1;2;v14.16;Regional_Finals_2024;1;3;5;1;Red;00:44:00;Ivern;Ashe;KSante;Jax;Corki;Tristana;Loss;4;2;4;0;18;0;2;3;1.5;535;50;0;12.2;18830;428;0.275;67;15;28;5;4;1.52;0.34;0.11;0.64;0.169;28612;20685;5207;2720;650;0.328;0.07;0.75;0;0;0;0;0;-476;-2;-106;-1;0;4004;4004;9860;0;14297;0;2;178;24555;61;7;31;0;400
Hena;ADCARRY;FOX;KT;Deft;13.09.2024;1;2;v14.16;Regional_Finals_2024;1;3;5;1;Red;00:44:00;Yone;Jhin;Poppy;Tristana;Seraphine;Ziggs;Loss;4;2;4;0;18;2;2;2;2;348;20;0;7.9;14962;340;0.219;44;25;5;10;10;1;0.57;0.23;0.11;0.111;24625;890;23735;0;560;0.283;0.09;1;1;0;0;0;0;-250;-12;-1074;-1;0;0;0;6168;3356;13563;6942;45;740;15668;28;12;32;0;0
Duro;SUPPORT;FOX;KT;BeryL;13.09.2024;1;2;v14.16;Regional_Finals_2024;1;3;5;1;Red;00:44:00;Azir;Miss_Fortune;Seraphine;Alistar;Poppy;Alistar;Loss;4;2;4;0;13;0;2;2;1;29;0;0;0.7;8531;194;0.125;172;88;15;28;25;3.91;2;0.64;0.34;0.433;6166;4604;1114;448;140;0.071;0.05;0.5;0;0;0;0;0;59;-7;-510;0;0;1162;1162;1787;0;14771;0;30;137;17102;31;30;45;0;0
Clear;TOP;FOX;KT;PerfecT;13.09.2024;1;2;v14.16;Regional_Finals_2024;2;3;5;2;Blue;00:30:26;Ivern;Rumble;Ziggs;Jhin;Gnar;KSante;Loss;7;2;1;0;15;0;4;2;0.5;222;16;0;7.3;9495;312;0.196;14;5;2;1;1;0.46;0.16;0.03;0.07;0.068;8135;7333;802;0;267;0.115;0.07;0.286;0;0;0;0;0;-1422;-43;-1651;-2;0;891;891;4686;0;15080;0;13;347;19415;167;2;23;0;0
Raptor;JUNGLE;FOX;KT;Pyosik;13.09.2024;1;2;v14.16;Regional_Finals_2024;2;3;5;2;Blue;00:30:26;Tristana;Smolder;Skarner;Lillia;Skarner;Lillia;Loss;7;2;1;0;13;0;4;5;1.3;153;131;0;5;8653;284;0.179;42;8;10;8;7;1.38;0.26;0.26;0.33;0.203;11749;7628;3881;240;386;0.167;0.16;0.714;0;0;0;0;0;-477;-30;-1253;-1;0;1064;1064;12853;0;43359;0;32;571;35394;86;9;23;0;0
Clozer;MID;FOX;KT;Bdd;13.09.2024;1;2;v14.16;Regional_Finals_2024;2;3;5;2;Blue;00:30:26;Maokai;Vi;Corki;KSante;Corki;Yone;Loss;7;2;1;0;16;3;3;3;2;295;13;0;9.7;12520;411;0.259;44;14;15;6;4;1.45;0.46;0.2;0.49;0.213;21278;14383;4784;2111;699;0.302;0.2;0.857;0;0;0;0;0;1159;24;467;0;0;250;250;3112;0;10094;0;0;36;15421;57;9;28;200;100
Hena;ADCARRY;FOX;KT;Deft;13.09.2024;1;2;v14.16;Regional_Finals_2024;2;3;5;2;Blue;00:30:26;Azir;Camille;Alistar;Rell;Ziggs;Jhin;Loss;7;2;1;0;15;4;4;3;1.8;247;2;0;8.1;11516;378;0.238;19;15;2;5;5;0.62;0.49;0.16;0.07;0.092;25226;858;24368;0;829;0.358;0.23;1;0;0;0;0;0;-286;-15;-348;0;0;4267;4267;63;0;10056;0;17;272;15474;134;8;25;0;300
Duro;SUPPORT;FOX;KT;BeryL;13.09.2024;1;2;v14.16;Regional_Finals_2024;2;3;5;2;Blue;00:30:26;Poppy;Jax;Gnar;Yone;Alistar;Rell;Loss;7;2;1;0;10;0;4;6;1.5;14;0;0;0.5;6200;204;0.128;88;51;4;17;17;2.89;1.68;0.56;0.13;0.425;4145;535;2900;710;136;0.059;0.2;0.857;0;0;0;0;0;210;-10;-472;0;0;657;657;4334;2010;19736;0;34;61;19499;115;19;31;0;0
PerfecT;TOP;KT;FOX;Clear;13.09.2024;1;2;v14.16;Regional_Finals_2024;2;3;5;2;Red;00:30:26;Rumble;Ivern;Jhin;Ziggs;KSante;Gnar;Win;19;9;3;1;16;4;1;11;15;226;0;0;7.4;12428;408;0.204;47;15;11;11;10;1.54;0.49;0.36;0.36;0.191;15015;12090;1439;1486;493;0.187;0.49;0.789;0;1;0;0;0;1422;43;1651;2;0;5727;5727;7186;0;43592;695;29;1716;26776;52;12;29;100;200
Pyosik;JUNGLE;KT;FOX;Raptor;13.09.2024;1;2;v14.16;Regional_Finals_2024;2;3;5;2;Red;00:30:26;Smolder;Tristana;Lillia;Skarner;Lillia;Skarner;Win;19;9;3;1;16;4;1;9;13;230;209;0;7.6;12475;410;0.205;42;12;8;9;8;1.38;0.39;0.3;0.26;0.171;19998;368;16311;3319;657;0.249;0.43;0.684;0;1;0;0;0;477;30;1253;1;0;2313;2313;24590;0;21192;0;22;446;32461;42;10;23;0;0
Bdd;MID;KT;FOX;Clozer;13.09.2024;1;2;v14.16;Regional_Finals_2024;2;3;5;2;Red;00:30:26;Vi;Maokai;KSante;Corki;Yone;Corki;Win;19;9;3;1;17;1;2;10;5.5;270;14;0;8.9;11661;383;0.191;24;7;3;5;5;0.79;0.23;0.16;0.1;0.098;12188;7673;2649;1866;400;0.152;0.36;0.579;0;0;0;0;0;-1159;-24;-467;0;0;2248;2248;9323;0;16392;0;16;187;18386;53;6;18;0;0
Deft;ADCARRY;KT;FOX;Hena;13.09.2024;1;2;v14.16;Regional_Finals_2024;2;3;5;2;Red;00:30:26;Camille;Azir;Rell;Alistar;Jhin;Ziggs;Win;19;9;3;1;17;10;0;8;Perfect_KDA;308;4;0;10.1;16600;545;0.273;37;16;6;5;5;1.22;0.53;0.16;0.2;0.15;28149;25989;1820;340;925;0.351;0.59;0.947;1;1;1;0;0;286;15;348;0;0;12594;12594;5976;0;5927;0;37;129;12584;0;5;24;300;0
BeryL;SUPPORT;KT;FOX;Duro;13.09.2024;1;2;v14.16;Regional_Finals_2024;2;3;5;2;Red;00:30:26;Jax;Poppy;Yone;Gnar;Rell;Alistar;Win;19;9;3;1;12;0;3;14;4.7;32;1;0;1.1;7750;255;0.127;96;46;10;13;12;3.15;1.51;0.43;0.33;0.39;4842;1184;3054;604;159;0.06;0.46;0.737;0;0;0;0;0;-210;10;472;0;0;1153;1153;1564;0;15067;0;23;63;18316;46;15;34;0;0
Clear;TOP;FOX;KT;PerfecT;13.09.2024;1;2;v14.16;Regional_Finals_2024;3;3;5;3;Blue;00:32:35;Tristana;Rumble;Ziggs;Jhin;Renekton;KSante;Loss;13;3;1;0;16;1;4;2;0.8;247;4;0;7.6;11579;355;0.205;36;10;8;6;4;1.1;0.31;0.18;0.25;0.136;12306;10510;1706;90;378;0.127;0.09;0.231;0;0;0;0;0;1325;19;834;1;0;2169;2169;6474;0;30755;0;18;53;28550;134;7;27;200;100
Raptor;JUNGLE;FOX;KT;Pyosik;13.09.2024;1;2;v14.16;Regional_Finals_2024;3;3;5;3;Blue;00:32:35;Maokai;Smolder;Skarner;Lillia;Skarner;Lillia;Loss;13;3;1;0;13;1;5;10;2.2;152;131;0;4.7;9062;278;0.16;52;10;14;8;8;1.6;0.31;0.25;0.43;0.196;12502;7750;4516;236;384;0.129;0.34;0.846;0;0;0;0;0;118;5;-203;0;0;301;301;15045;0;58461;0;28;604;44514;137;10;25;0;0
Clozer;MID;FOX;KT;Bdd;13.09.2024;1;2;v14.16;Regional_Finals_2024;3;3;5;3;Blue;00:32:35;Ivern;Vi;Corki;KSante;Corki;Yone;Loss;13;3;1;0;16;6;6;4;1.7;329;24;0;10.1;15355;471;0.272;33;11;11;0;0;1.01;0.34;0;0.34;0.125;29341;20021;5451;3869;900;0.302;0.31;0.769;0;1;0;0;0;97;8;-1147;-1;0;5582;5582;4973;0;14650;0;0;72;23938;177;1;23;350;350
Hena;ADCARRY;FOX;KT;Deft;13.09.2024;1;2;v14.16;Regional_Finals_2024;3;3;5;3;Blue;00:32:35;Azir;Camille;Renekton;Yone;Ziggs;Jhin;Loss;13;3;1;0;15;5;3;6;3.7;266;14;0;8.2;13318;409;0.236;33;15;6;5;5;1.01;0.46;0.15;0.18;0.125;37563;782;36379;402;1153;0.386;0.34;0.846;0;0;0;0;0;815;-5;-195;0;0;2850;2850;2082;0;6647;0;24;318;12114;67;9;26;250;100
Duro;SUPPORT;FOX;KT;BeryL;13.09.2024;1;2;v14.16;Regional_Finals_2024;3;3;5;3;Blue;00:32:35;Rell;Jax;Leona;Poppy;Leona;Poppy;Loss;13;3;1;0;12;0;8;8;1;26;0;0;0.8;7200;221;0.127;111;53;14;22;21;3.41;1.63;0.68;0.43;0.419;5548;1114;3255;1179;170;0.057;0.25;0.615;0;0;0;0;0;-516;-12;-250;0;0;1704;1704;1814;0;25450;0;34;58;28983;217;24;38;0;0
PerfecT;TOP;KT;FOX;Clear;13.09.2024;1;2;v14.16;Regional_Finals_2024;3;3;5;3;Red;00:32:35;Rumble;Tristana;Jhin;Ziggs;KSante;Renekton;Win;26;10;4;1;16;2;1;13;15;216;0;0;6.6;11795;362;0.177;51;15;9;11;11;1.57;0.46;0.34;0.28;0.167;11115;7419;2478;1218;341;0.108;0.46;0.577;0;0;0;0;0;-1325;-19;-834;-1;0;1684;1684;5130;0;44867;838;21;448;25459;49;13;31;0;0
Pyosik;JUNGLE;KT;FOX;Raptor;13.09.2024;1;2;v14.16;Regional_Finals_2024;3;3;5;3;Red;00:32:35;Smolder;Maokai;Lillia;Skarner;Lillia;Skarner;Win;26;10;4;1;16;6;3;9;5;208;180;0;6.4;13421;412;0.202;39;10;7;9;7;1.2;0.31;0.28;0.21;0.127;21664;481;17512;3671;665;0.211;0.46;0.577;0;0;0;0;0;-118;-5;203;0;1;2635;2635;22306;0;20564;0;20;434;35081;103;10;26;300;100
Bdd;MID;KT;FOX;Clozer;13.09.2024;1;2;v14.16;Regional_Finals_2024;3;3;5;3;Red;00:32:35;Vi;Ivern;KSante;Corki;Yone;Corki;Win;26;10;4;1;18;10;2;12;11;297;20;0;9.1;16835;517;0.253;38;11;10;7;7;1.17;0.34;0.21;0.31;0.124;39287;26503;6536;6248;1206;0.383;0.68;0.846;0;2;0;0;0;-97;-8;1147;1;0;10061;10061;14659;0;33116;0;40;359;30164;57;8;28;200;200
Deft;ADCARRY;KT;FOX;Hena;13.09.2024;1;2;v14.16;Regional_Finals_2024;3;3;5;3;Red;00:32:35;Camille;Azir;Yone;Renekton;Jhin;Ziggs;Win;26;10;4;1;17;5;3;14;6.3;325;11;0;10;15705;482;0.236;47;14;12;3;3;1.44;0.43;0.09;0.37;0.154;21808;18506;2648;654;669;0.212;0.58;0.731;0;0;0;0;0;-815;5;195;0;0;5291;5291;6846;0;9523;0;18;96;17895;116;4;25;0;450
BeryL;SUPPORT;KT;FOX;Duro;13.09.2024;1;2;v14.16;Regional_Finals_2024;3;3;5;3;Red;00:32:35;Jax;Rell;Poppy;Leona;Poppy;Leona;Win;26;10;4;1;12;3;4;12;3.8;38;0;0;1.2;8849;272;0.133;131;63;17;19;18;4.02;1.93;0.58;0.52;0.428;8775;6910;823;1042;269;0.085;0.46;0.577;0;0;0;0;0;516;12;250;0;0;3159;3159;2494;0;20885;0;34;227;23547;114;21;37;50;50
Zeus;TOP;T1;KT;PerfecT;14.09.2024;2;3;v14.16;Regional_Finals_2024;1;5;5;1;Blue;00:26:36;Maokai;Rumble;Ziggs;Miss_Fortune;Vayne;KSante;Win;13;11;3;1;15;3;3;4;2.3;233;20;0;8.8;11100;417;0.201;34;11;4;2;2;1.28;0.41;0.08;0.15;0.143;9139;8132;0;1007;344;0.114;0.26;0.538;0;1;0;0;0;1704;42;878;1;0;5180;5180;4838;0;9156;0;3;100;16025;68;6;32;0;250
Oner;JUNGLE;T1;KT;Pyosik;14.09.2024;2;3;v14.16;Regional_Finals_2024;1;5;5;1;Blue;00:26:36;Jhin;Vi;Azir;Lillia;Skarner;Lillia;Win;13;11;3;1;13;0;1;9;9;165;145;0;6.2;9201;346;0.166;48;9;15;7;7;1.8;0.34;0.26;0.56;0.202;6723;4948;1563;212;253;0.084;0.34;0.692;0;0;0;0;0;-647;-10;-564;0;0;2993;2993;11958;0;36257;0;16;529;23387;25;8;21;0;0
Faker;MID;T1;KT;Bdd;14.09.2024;2;3;v14.16;Regional_Finals_2024;1;5;5;1;Blue;00:26:36;Smolder;Sejuani;Skarner;Yone;Azir;Yone;Win;13;11;3;1;16;3;0;4;Perfect_KDA;257;4;0;9.7;12043;453;0.218;41;10;9;1;1;1.54;0.38;0.04;0.34;0.172;21525;256;21092;177;809;0.268;0.26;0.538;0;0;0;0;0;28;5;-70;0;0;5885;5885;3884;0;8701;0;9;193;8815;0;3;16;0;0
Gumayusi;ADCARRY;T1;KT;Deft;14.09.2024;2;3;v14.16;Regional_Finals_2024;1;5;5;1;Blue;00:26:36;Jax;Camille;Vayne;KSante;Ziggs;Miss_Fortune;Win;13;11;3;1;15;4;1;4;8;274;6;0;10.3;13921;523;0.252;26;9;2;4;4;0.98;0.34;0.15;0.08;0.109;34655;675;33980;0;1303;0.432;0.3;0.615;0;0;0;0;0;2854;33;1670;2;0;10942;10942;536;0;2936;0;15;308;6214;32;6;19;0;350
Keria;SUPPORT;T1;KT;BeryL;14.09.2024;2;3;v14.16;Regional_Finals_2024;1;5;5;1;Blue;00:26:36;Rell;Olaf;Poppy;Senna;Poppy;Senna;Win;13;11;3;1;11;3;1;8;11;34;0;0;1.3;9026;339;0.163;89;43;11;14;14;3.35;1.62;0.53;0.41;0.374;8213;6467;1176;570;309;0.102;0.41;0.846;1;0;0;0;0;1259;-3;-138;0;0;6958;6958;1585;0;12510;0;30;181;14949;16;16;30;0;0
PerfecT;TOP;KT;T1;Zeus;14.09.2024;2;3;v14.16;Regional_Finals_2024;1;5;5;1;Red;00:26:36;Rumble;Maokai;Miss_Fortune;Ziggs;KSante;Vayne;Loss;6;0;0;0;13;1;2;1;1;144;0;0;5.4;7128;268;0.17;21;10;3;4;3;0.79;0.38;0.15;0.11;0.114;3621;2996;519;106;136;0.085;0.08;0.333;0;0;0;0;0;-1704;-42;-878;-1;0;0;0;917;0;16557;332;12;1339;16384;10;5;22;0;0
Pyosik;JUNGLE;KT;T1;Oner;14.09.2024;2;3;v14.16;Regional_Finals_2024;1;5;5;1;Red;00:26:36;Vi;Jhin;Lillia;Azir;Lillia;Skarner;Loss;6;0;0;0;13;2;2;4;3;162;141;0;6.1;8874;334;0.212;24;6;5;5;4;0.9;0.23;0.19;0.19;0.13;10032;321;8291;1420;377;0.234;0.23;1;0;0;0;0;0;647;10;564;0;0;0;0;18025;0;17419;0;11;389;30235;28;6;19;450;0
Bdd;MID;KT;T1;Faker;14.09.2024;2;3;v14.16;Regional_Finals_2024;1;5;5;1;Red;00:26:36;Sejuani;Smolder;Yone;Skarner;Yone;Azir;Loss;6;0;0;0;15;2;1;4;6;238;8;0;8.9;9765;367;0.233;16;8;1;5;5;0.6;0.3;0.19;0.04;0.086;11982;8108;2520;1354;450;0.28;0.23;1;0;0;0;0;0;-28;-5;70;0;0;0;0;8123;0;17804;0;11;158;24457;0;6;23;150;0
Deft;ADCARRY;KT;T1;Gumayusi;14.09.2024;2;3;v14.16;Regional_Finals_2024;1;5;5;1;Red;00:26:36;Camille;Jax;KSante;Vayne;Miss_Fortune;Ziggs;Loss;6;0;0;0;14;1;4;2;0.8;249;2;0;9.4;9869;371;0.236;34;15;3;8;6;1.28;0.56;0.3;0.11;0.184;10734;10106;556;72;404;0.251;0.11;0.5;0;0;0;0;0;-2854;-33;-1670;-2;0;32;32;3220;0;11060;0;5;91;14531;63;9;26;0;0
BeryL;SUPPORT;KT;T1;Keria;14.09.2024;2;3;v14.16;Regional_Finals_2024;1;5;5;1;Red;00:26:36;Olaf;Rell;Senna;Poppy;Senna;Poppy;Loss;6;0;0;0;11;0;4;4;1;34;0;0;1.3;6245;235;0.149;90;40;15;13;13;3.38;1.5;0.49;0.56;0.486;6449;6329;120;0;242;0.151;0.15;0.667;0;0;0;0;0;-1259;3;138;0;0;6;6;13458;7362;6577;2481;29;163;15473;62;15;28;0;0
PerfecT;TOP;KT;T1;Zeus;14.09.2024;2;3;v14.16;Regional_Finals_2024;2;5;5;2;Blue;00:31:47;Azir;Smolder;Rumble;Nasus;Rumble;Ornn;Win;25;8;3;1;17;6;2;11;8.5;218;0;0;6.9;12387;390;0.199;38;20;3;10;9;1.2;0.63;0.31;0.09;0.123;27913;844;26958;111;878;0.256;0.53;0.68;0;1;0;0;0;341;7;24;0;0;5820;5820;3908;0;16654;0;15;304;15610;61;12;26;0;100
Pyosik;JUNGLE;KT;T1;Oner;14.09.2024;2;3;v14.16;Regional_Finals_2024;2;5;5;2;Blue;00:31:47;Sejuani;Lillia;Skarner;Vi;Skarner;Vi;Win;25;8;3;1;16;3;1;17;20;188;163;0;5.9;11891;374;0.191;53;12;20;12;10;1.67;0.38;0.38;0.63;0.172;15096;8712;6066;318;475;0.139;0.63;0.8;0;0;0;0;0;-950;-6;-575;0;1;1933;1933;11768;0;62489;0;49;662;26718;25;13;29;200;0
Bdd;MID;KT;T1;Faker;14.09.2024;2;3;v14.16;Regional_Finals_2024;2;5;5;2;Blue;00:31:47;Tristana;Maokai;Yone;Ornn;Yone;Nasus;Win;25;8;3;1;17;7;2;10;8.5;273;8;0;8.6;13738;432;0.221;38;8;6;6;6;1.2;0.25;0.19;0.19;0.123;30288;22000;4212;4076;953;0.278;0.53;0.68;1;1;0;0;0;1011;37;926;1;0;5222;5222;12501;0;29947;0;23;228;25794;85;8;27;0;550
Deft;ADCARRY;KT;T1;Gumayusi;14.09.2024;2;3;v14.16;Regional_Finals_2024;2;5;5;2;Blue;00:31:47;Poppy;Jhin;Rell;Ziggs;Kaisa;Ziggs;Win;25;8;3;1;17;7;2;6;6.5;329;36;0;10.4;15473;487;0.249;58;15;10;4;4;1.82;0.47;0.13;0.31;0.188;28622;10106;18136;380;901;0.263;0.41;0.52;0;0;1;0;0;-373;3;-929;0;0;6520;6520;5424;0;10107;0;3;83;16100;53;5;26;0;50
BeryL;SUPPORT;KT;T1;Keria;14.09.2024;2;3;v14.16;Regional_Finals_2024;2;5;5;2;Blue;00:31:47;Senna;Ezreal;Kaisa;Bard;Rell;Bard;Win;25;8;3;1;13;2;1;18;20;44;0;0;1.4;8774;276;0.141;122;61;17;18;18;3.84;1.92;0.57;0.53;0.395;6940;1487;4359;1094;218;0.064;0.63;0.8;0;1;0;0;0;-260;12;624;1;0;1712;1712;3298;0;22712;1949;46;112;15729;16;20;35;0;0
Zeus;TOP;T1;KT;PerfecT;14.09.2024;2;3;v14.16;Regional_Finals_2024;2;5;5;2;Red;00:31:47;Smolder;Azir;Nasus;Rumble;Ornn;Rumble;Loss;8;2;2;0;15;0;4;5;1.3;198;1;0;6.2;8990;283;0.182;29;10;2;7;5;0.91;0.31;0.22;0.06;0.107;7878;2885;4794;199;248;0.118;0.16;0.625;0;0;0;0;0;-341;-7;-24;0;0;1392;1392;823;0;42385;0;30;702;26032;129;8;28;0;0
Oner;JUNGLE;T1;KT;Pyosik;14.09.2024;2;3;v14.16;Regional_Finals_2024;2;5;5;2;Red;00:31:47;Lillia;Sejuani;Vi;Skarner;Vi;Skarner;Loss;8;2;2;0;15;5;5;1;1.2;217;182;0;6.8;12141;382;0.246;47;9;12;9;7;1.48;0.28;0.28;0.38;0.173;11204;10119;489;596;353;0.168;0.19;0.75;0;0;0;0;0;950;6;575;0;0;1420;1420;14412;0;37873;0;27;368;31561;129;10;30;550;200
Faker;MID;T1;KT;Bdd;14.09.2024;2;3;v14.16;Regional_Finals_2024;2;5;5;2;Red;00:31:47;Maokai;Tristana;Ornn;Yone;Nasus;Yone;Loss;8;2;2;0;14;2;6;3;0.8;190;0;0;6;9723;306;0.197;24;14;1;5;5;0.76;0.44;0.16;0.03;0.089;18833;13269;4910;654;593;0.283;0.16;0.625;0;0;0;0;0;-1011;-37;-926;-1;0;2491;2491;10271;0;47237;0;29;3046;36264;209;6;23;100;0
Gumayusi;ADCARRY;T1;KT;Deft;14.09.2024;2;3;v14.16;Regional_Finals_2024;2;5;5;2;Red;00:31:47;Jhin;Poppy;Ziggs;Rell;Ziggs;Kaisa;Loss;8;2;2;0;16;0;5;5;1;286;2;0;9;11669;367;0.236;21;11;4;3;3;0.66;0.35;0.09;0.13;0.077;23372;780;22500;92;735;0.351;0.16;0.625;0;0;0;0;0;373;-3;929;0;0;1025;1025;1474;0;7306;0;22;336;16333;148;5;22;0;0
Keria;SUPPORT;T1;KT;BeryL;14.09.2024;2;3;v14.16;Regional_Finals_2024;2;5;5;2;Red;00:31:47;Ezreal;Senna;Bard;Kaisa;Bard;Rell;Loss;8;2;2;0;11;1;5;3;0.8;32;0;0;1;6903;217;0.14;150;92;17;20;19;4.72;2.89;0.63;0.53;0.554;5327;1326;3495;506;168;0.08;0.13;0.5;0;0;0;0;0;260;-12;-624;-1;0;677;677;2186;1356;12155;862;50;256;20086;143;22;37;50;0
Zeus;TOP;T1;KT;PerfecT;14.09.2024;2;3;v14.16;Regional_Finals_2024;3;5;5;3;Blue;00:28:59;Maokai;Azir;Ziggs;Leona;Camille;Jax;Win;12;9;3;1;16;3;0;3;Perfect_KDA;248;12;0;8.6;11284;389;0.196;30;8;4;1;1;1.04;0.28;0.03;0.14;0.107;13329;9717;1021;2591;460;0.228;0.21;0.5;0;0;0;0;0;490;26;1177;1;0;2610;2610;4175;0;24571;0;18;288;17513;0;3;26;50;0
Oner;JUNGLE;T1;KT;Pyosik;14.09.2024;2;3;v14.16;Regional_Finals_2024;3;5;5;3;Blue;00:28:59;Yone;Rumble;Sejuani;Ivern;Sejuani;Ivern;Win;12;9;3;1;14;1;0;11;Perfect_KDA;175;150;0;6;10769;372;0.187;53;11;18;9;9;1.83;0.38;0.31;0.62;0.189;8094;4809;2634;651;279;0.139;0.41;1;0;0;0;0;0;-105;23;371;0;0;5846;5846;15659;0;38794;1222;15;340;32786;0;10;25;0;0
